pk,jsondata,polymorphic_type,id,name,description,markup_description,parameter_pk,number,abbr
163,"{""icon"": ""ccccccc""}",base,136-N/A,N/A,Not Applicable,,42,3,
164,"{""icon"": ""cff66ff""}",base,136-?,?,Not known,,42,2,
165,"{""icon"": ""c000000""}",base,137-1,1,present,,43,1,
166,"{""icon"": ""c990099""}",base,137-0,0,absent,,43,0,
167,"{""icon"": ""ccccccc""}",base,137-N/A,N/A,Not Applicable,,43,3,
168,"{""icon"": ""cff66ff""}",base,137-?,?,Not known,,43,2,
169,"{""icon"": ""c000000""}",base,138-1,1,present,,44,1,
170,"{""icon"": ""c990099""}",base,138-0,0,absent,,44,0,
171,"{""icon"": ""ccccccc""}",base,138-N/A,N/A,Not Applicable,,44,3,
172,"{""icon"": ""cff66ff""}",base,138-?,?,Not known,,44,2,
173,"{""icon"": ""c000000""}",base,139-1,1,present,,45,1,
174,"{""icon"": ""c990099""}",base,139-0,0,absent,,45,0,
175,"{""icon"": ""ccccccc""}",base,139-N/A,N/A,Not Applicable,,45,3,
176,"{""icon"": ""cff66ff""}",base,139-?,?,Not known,,45,2,
177,"{""icon"": ""c000000""}",base,14-1,1,present,,46,1,
178,"{""icon"": ""c9999ff""}",base,14-0,0,absent,,46,0,
179,"{""icon"": ""cff4400""}",base,14-?,?,Not known,,46,2,
180,"{""icon"": ""c000000""}",base,140-1,1,present,,47,1,
181,"{""icon"": ""c990099""}",base,140-0,0,absent,,47,0,
182,"{""icon"": ""ccccccc""}",base,140-N/A,N/A,Not Applicable,,47,3,
183,"{""icon"": ""cff66ff""}",base,140-?,?,Not known,,47,2,
184,"{""icon"": ""c000000""}",base,141-1,1,present,,48,1,
185,"{""icon"": ""c990099""}",base,141-0,0,absent,,48,0,
186,"{""icon"": ""ccccccc""}",base,141-N/A,N/A,Not Applicable,,48,3,
187,"{""icon"": ""cff66ff""}",base,141-?,?,Not known,,48,2,
188,"{""icon"": ""c000000""}",base,142-1,1,present,,49,1,
189,"{""icon"": ""c990099""}",base,142-0,0,absent,,49,0,
190,"{""icon"": ""ccccccc""}",base,142-N/A,N/A,Not Applicable,,49,3,
191,"{""icon"": ""cff66ff""}",base,142-?,?,Not known,,49,2,
192,"{""icon"": ""c000000""}",base,143-1,1,present,,50,1,
193,"{""icon"": ""c990099""}",base,143-0,0,absent,,50,0,
194,"{""icon"": ""ccccccc""}",base,143-N/A,N/A,Not Applicable,,50,3,
195,"{""icon"": ""cff66ff""}",base,143-?,?,Not known,,50,2,
196,"{""icon"": ""c000000""}",base,144-1,1,present,,51,1,
197,"{""icon"": ""c990099""}",base,144-0,0,absent,,51,0,
198,"{""icon"": ""ccccccc""}",base,144-N/A,N/A,Not Applicable,,51,3,
199,"{""icon"": ""cff66ff""}",base,144-?,?,Not known,,51,2,
