pk,jsondata,polymorphic_type,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
236,"{""gbs"": {}}",base,gseidelyeyi,Seidel 2008,A Grammar of Yeyi: A Bantu Language of Southern Africa,,,,book,"Seidel, Frank",2008,A Grammar of Yeyi: A Bantu Language of Southern Africa,,,,464,,,,,,,,Grammatical Analyses of African Languages,33,Köln: Köppe,,,,,,
237,"{""gbs"": {}}",base,gsaeedsomali,Saeed 1999,Somali,,,,book,"Saeed, John Ibrahim",1999,Somali,,,,xv+295,,,,,,,,London Oriental and African Language Library,10,Amsterdam: John Benjamins,,,,,,
238,"{""gbs"": {}}",base,gnewmanhausa,Newman 2000,The Hausa Language: An Encyclopedic Reference Grammar,,,,book,"Newman, Paul",2000,The Hausa Language: An Encyclopedic Reference Grammar,,,,xxxix+760,,,,,,,,Yale Language Series,,New Haven: Yale University Press,,,,,,
239,"{""gbs"": {}}",base,gstromndengeleko,Ström 2013,The Ndengeleko language of Tanzania,,,,phdthesis,"Ström, Eva-Marie",2013,The Ndengeleko language of Tanzania,,,,302,,,Göteborgs Universitet,,,,,,,,,,,,,
240,"{""gbs"": {}}",base,gdevosmakwe,Devos 2007,A grammar of Makwe,,,,book,"Devos, Maud",2007,A grammar of Makwe,,,,520,,,,,,,,LINCOM Studies in African linguistics,71,München: Lincom Europa,,,,,,
241,"{""gbs"": {}}",base,gstroomerboraana,Stroomer 1995,A Grammar of Boraana Oromo (Kenya),,,,book,"Stroomer, Harry",1995,A Grammar of Boraana Oromo (Kenya),,,,315,,,,Köln,,,,Kuschitische Sprachstudien 11,,Köln: Rüdiger Köppe,,,,,,
242,"{""gbs"": {}}",base,ghellwiggoemai,Hellwig 2011,A Grammar of Goemai,,,,book,"Hellwig, Birgit",2011,A Grammar of Goemai,,,,596,,,,Berlin,,,,Mouton Grammar Library,51,Berlin: Mouton de Gruyter,,,,,,
243,"{""gbs"": {}}",base,gtuckertompoolempaayeimaasai,Tucker and Mpaayei 1955,A Maasai Grammar with Vocabulary,,,,book,"Tucker, Archibald N. and Mpaayei, J. Tompo Ole",1955,A Maasai Grammar with Vocabulary,,,,xvii+317,,,,,,,,"Publications of the African Institute, Leyden",II,"London: Longmans, Green and Co",,,,,,
244,"{""gbs"": {}}",base,gstevensonotoro,Stevenson 2009,A grammar of Otoro,,,,incollection,"Stevenson, Roland C.",2009,A grammar of Otoro,,Tira and Otoro: Two Kordofanian grammars,"Schadeberg, Thilo C.",115-326,,,,Köln,,,,Archiv afrikanistischer Manuskripte,8,Köln: Rüdiger Köppe Verlag,,,,,,
245,"{""gbs"": {}}",base,sblackblackmoro,Black and Black 1971,The Moro Language: Grammar and Dictionary,,,,book,"Black, Keith and Black, Elizabeth",1971,The Moro Language: Grammar and Dictionary,,,,ii+179,,,,,,"States authors as ""Mr. and Mrs. K. Black"". However, the authors' full first names are Keith and Elizabeth (Betty).",,Linguistics Monograph Series,6,"Sudan Research Unit, University of Khartoum",,,,,,
246,"{""gbs"": {}}",base,gvonheykingbelandaboor,von Heyking 2013,A grammar of Belanda Boor: Phonology and morphology,,,,book,"von Heyking, Beatrix",2013,A grammar of Belanda Boor: Phonology and morphology,,,,242,,,,,,,,Nilo-Saharan: Linguistics Analyses and Documentation,27,Köln: Rüdiger Köppe,,,,,,
247,"{""gbs"": {}}",base,grehkrongo,Reh 1985,"Die Krongo-Sprache (Nìino Mó-dì): Beschreibung, Texte, Wörterverzeichnis",,,,book,"Reh, Mechthild",1985,"Die Krongo-Sprache (Nìino Mó-dì): Beschreibung, Texte, Wörterverzeichnis",,,,xv+490,,,,,,,,Kölner Beiträge zur Afrikanistik,12,Berlin: Dietrich Reimer,,,,,,
248,"{""gbs"": {}}",base,gmeeuwislingala,Meeuwis 2010,A Grammatical Overview of Lingála,,,,book,"Meeuwis, Michael",2010,A Grammatical Overview of Lingála,,,,208,,,,,,,,LINCOM Studies in African Linguistics,81,München: Lincom,,,,,,
249,"{""gbs"": {}}",base,gtaylornkorekiga,Taylor 1985,Nkore-Kiga,,,,book,"Taylor, Charles",1985,Nkore-Kiga,,,,254,,,,London,,,,Croom Helm Descriptive Grammars,,London: Croom Helm,,,,,,
250,"{""gbs"": {}}",base,sbowernlotridgendebele,Bowern and Lotridge 2002,Ndebele,,,,book,"Bowern, Claire and Lotridge, Victoria",2002,Ndebele,,,,iv+93,,,,,,,,Languages of the World/Materials,416,München: Lincom,,,,,,
251,"{""gbs"": {}}",base,gwernermidob,Werner 1993,Tìdn-Áal: A Study of Midob (Darfur-Nubian),,,,book,"Werner, Roland",1993,Tìdn-Áal: A Study of Midob (Darfur-Nubian),,,,169,,,,,,,,Sprache und Oralität in Afrika: Frankfurter Studien zur Afrikanistik,17,Berlin: Dietrich Reimer,,,,,,
252,"{""gbs"": {}}",base,gatoyebioko2009,Atoyebi 2009,A reference grammar of \`{Ọ}kọ: a West Benue-Congo language of North-Central Nigeria,,,,phdthesis,"Atoyebi, Joseph Dele",2009,A reference grammar of \`{Ọ}kọ: a West Benue-Congo language of North-Central Nigeria,,,,444,,,University of Leipzig,,,,,,,,,,,,,
253,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 517, ""previewLink"": ""http://books.google.de/books?id=ZzQ7AQAAIAAJ&dq=inauthor:Hellenthal,+Anneke+Christine+intitle:A+grammar+of+Sheko&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2010"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""9460930379"", ""type"": ""ISBN_10""}, {""identifier"": ""9789460930379"", ""type"": ""ISBN_13""}], ""authors"": [""Anneke Christine Hellenthal""], ""title"": ""A grammar of Sheko"", ""infoLink"": ""http://books.google.de/books?id=ZzQ7AQAAIAAJ&dq=inauthor:Hellenthal,+Anneke+Christine+intitle:A+grammar+of+Sheko&hl=&source=gbs_api"", ""categories"": [""Omotic languages""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_grammar_of_Sheko.html?hl=&id=ZzQ7AQAAIAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""jqTa+HeC7pk"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=ZzQ7AQAAIAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""ZzQ7AQAAIAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/ZzQ7AQAAIAAJ""}}",base,ghellenthalsheko,Hellenthal 2010,A grammar of Sheko,,,ZzQ7AQAAIAAJ,phdthesis,"Hellenthal, Anneke Christine",2010,A grammar of Sheko,,,,517,,,Universiteit Leiden,,,,,,,,,,,,,
254,"{""gbs"": {}}",base,gwedekindetalbeja,Wedekind et al. 2007,"A Learner's Grammar of Beja (East Sudan): Grammar, Texts and Vocabulary (Beja-English and English-Beja)",,,,book,"Wedekind, Charlotte and Wedekind, Charlotte and Musa, Abuzeinab",2007,"A Learner's Grammar of Beja (East Sudan): Grammar, Texts and Vocabulary (Beja-English and English-Beja)",,,,iv+313,,,,Köln,,,,Afrikawissenschaftliche Lehrbücher,17,Köln: Rüdiger Köppe,,,,,,
255,"{""gbs"": {}}",base,geatonsandawe,Eaton 2010,A Sandawe Grammar,,,,book,"Eaton, Helen",2010,A Sandawe Grammar,,,,206,,,,,http://www.sil.org/silepubs/Pubs/52718/52718_EatonH_Sandawe_Grammar.pdf,,,SIL e-Books,20,SIL International,,,,,,
256,"{""gbs"": {}}",base,sheinerendille1980,Heine 1980,Rendille,,,,incollection,"Heine, Bernd",1980,Rendille,,The Non-Bantu Languages of Kenya,,219-243,,,,Berlin,,,,Language and Dialect Atlas of Kenya,II,Berlin: Dietrich Reimer,,,,,,
257,"{""gbs"": {}}",base,gbeachydizin,Beachy 2005,An Overview of Central Dizin Phonology and Morphology (Ethiopia),,,,mastersthesis,"Beachy, Marvin Dean",2005,An Overview of Central Dizin Phonology and Morphology (Ethiopia),,,,196,,,The University of Texas at Arlington,,http://hdl.handle.net/10106/206,,,,,,,,,,,
258,"{""gbs"": {}}",base,typvydrinegouropronoms,Vydrine 2005,Pronoms personnels gouro,,,,article,"Vydrine, Valentin Feodosievič",2005,Pronoms personnels gouro,,,,83-107,,Journal of West African languages,,,,,1,,32,,,,,,,
259,"{""gbs"": {}}",base,gnossgbaya,Noss 1981,"Gbaya: phonologie et grammaire, dialecte yaayuwee",,,,book,"Noss, Philip A.",1981,"Gbaya: phonologie et grammaire, dialecte yaayuwee",,,,260,,,,,,,,,,"Meiganga (Cameroun): Centre de Traduction Gbaya, Eglise Evangelique Luthérienne du Cameroun",,,,,,
260,"{""gbs"": {}}",base,ssadlerlooma,Sadler 2006,"A Complete Analysis of the Lɔɔma Language, Interior Liberia, West Africa",,,,article,"Sadler, Wesley",2006,"A Complete Analysis of the Lɔɔma Language, Interior Liberia, West Africa",,,,5-109,,Mandenkan,,,\url{http://llacan.vjf.cnrs.fr/sec_mdkn.htm},,,,42,,,,,,,
261,"{""gbs"": {}}",base,gfordiddahsiwu,Ford and Iddah 1973,A Grammar of Siwu,,,,misc,"Ford, Kevin and Iddah, Robert K.",1973,A Grammar of Siwu,Ms.,,,210,,,,,,,,,,,,,"Legon, Ghana",,,
262,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 465, ""previewLink"": ""http://books.google.de/books?id=odcznwEACAAJ&dq=inauthor:Bobuafor,+Mercy+intitle:A+Grammar+of+Tafi&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2013"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""9460931138"", ""type"": ""ISBN_10""}, {""identifier"": ""9789460931130"", ""type"": ""ISBN_13""}], ""authors"": [""Mercy Bobuafor""], ""title"": ""A Grammar of Tafi"", ""infoLink"": ""http://books.google.de/books?id=odcznwEACAAJ&dq=inauthor:Bobuafor,+Mercy+intitle:A+Grammar+of+Tafi&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Tafi.html?hl=&id=odcznwEACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""LODzLiMnXHI"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=odcznwEACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""odcznwEACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/odcznwEACAAJ""}}",base,gbobuafortafi,Bobuafor 2013,A Grammar of Tafi,,,odcznwEACAAJ,phdthesis,"Bobuafor, Mercy",2013,A Grammar of Tafi,,,,489,,,Universiteit Leiden,,,,,LOT Dissertation Series,183,,,,,,,
263,"{""gbs"": {}}",base,typnikitinasovx,Nikitina 2011,Categorial reanalysis and the origin of the S-O-V-X word order in Mande,,,,article,"Nikitina, Tatiana",2011,Categorial reanalysis and the origin of the S-O-V-X word order in Mande,,,,251-273,,Journal of African Languages and Linguistics,,,,,2,,32,,,,,,,
264,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 425, ""previewLink"": ""http://books.google.de/books?id=Zz6SNQEACAAJ&dq=inauthor:Dingemanse,+Mark+intitle:The+meaning+and+use+of+ideophones+in+Siwu&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2011"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:757921238"", ""type"": ""OTHER""}], ""authors"": [""Mark Dingemanse""], ""title"": ""The Meaning and Use of Ideophones in Siwu"", ""infoLink"": ""http://books.google.de/books?id=Zz6SNQEACAAJ&dq=inauthor:Dingemanse,+Mark+intitle:The+meaning+and+use+of+ideophones+in+Siwu&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""http://books.google.de/books/about/The_Meaning_and_Use_of_Ideophones_in_Siw.html?hl=&id=Zz6SNQEACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""FAWEXlUITDQ"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=Zz6SNQEACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""Zz6SNQEACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/Zz6SNQEACAAJ""}}",base,stypdingemansesiwu,Dingemanse 2011,The meaning and use of ideophones in Siwu,,,Zz6SNQEACAAJ,phdthesis,"Dingemanse, Mark",2011,The meaning and use of ideophones in Siwu,,,,442,,,Nijmegen: Max Planck Institute for Psycholinguistics,,,,,,,,,,,,,
265,"{""gbs"": {}}",base,gtoscodahalo,Tosco 1991,A Grammatical Sketch of Dahalo including texts and a glossary,,,,book,"Tosco, Mauro",1991,A Grammatical Sketch of Dahalo including texts and a glossary,,,,xv+178,,,,Hamburg,,,,Kuschitische Sprachstudien 8,,Hamburg: Helmut Buske,,,,,,
266,"{""gbs"": {}}",base,smeeuwislingala,Meeuwis 1998,Lingala,,,,book,"Meeuwis, Michael",1998,Lingala,,,,52,,,,,,,,Languages of the World/Materials,261,München: Lincom,,,,,,
267,"{""gbs"": {}}",base,sthelwallmeidob,Thelwall 1983,"Meidob Nubian: Phonology, Grammatical Notes and Vocabulary",,,,incollection,"Thelwall, Robin",1983,"Meidob Nubian: Phonology, Grammatical Notes and Vocabulary",,Nilo-Saharan language studies,"Bender, Marvin Lionel",97-113,,,,,,,,Monograph / Committee on Northeast African studies,13,"East Lansing: African Studies Center, Michigan State University",,,,,,
268,"{""gbs"": {}}",base,gcreisselssamboumandinka,Creissels and Sambou 2013,"Le mandinka: phonologie, grammaire, textes",,,,book,"Creissels, Denis and Sambou, Pierre",2013,"Le mandinka: phonologie, grammaire, textes",,,,639,,,,,,,,,,Paris: Karthala,,,,,,
269,"{""gbs"": {}}",base,gseyoumdime,Mulugeta 2008,A Grammar of Dime,,,,phdthesis,"Mulugeta, Seyoum",2008,A Grammar of Dime,,,,263,,,Rijksuniversiteit te Leiden,,,,,LOT Dissertation Series,178,,,,,,,
270,"{""gbs"": {}}",base,sngomwolof,Ngom 2003,Wolof,,,,book,"Ngom, Fallou",2003,Wolof,,,,v+111,,,,,,,,Languages of the World/Materials,333,München: Lincom,,,,,,
271,"{""gbs"": {}}",base,sfaidherbepoul,Faidherbe 1882,Grammaire et Vocabulaire de la Langue Poul,,,,book,"Faidherbe, Louis Léon [Le Général]",1882,Grammaire et Vocabulaire de la Langue Poul,,,,172,2,,,Paris,,,,,,Paris: Maisonneuve,,,,,,
272,"{""gbs"": {}}",base,gbeckerdonnermano,Becker-Donner 1965,Die Sprache der Mano,,,,book,"Becker-Donner, Etta",1965,Die Sprache der Mano,,,,214,,,,,,,,"Österreichische Akademie der Wissenschaften: Philosophisch-Historische Klasse, Sitzungsberichte 245",5,Kommissionsverlag der Österreichischen Akademie der Wissenschaften,,,,,,
273,"{""gbs"": {}}",base,typperekhvalskayamwanverbale,Perekhvalskaya 2004,La morphologie verbale du mwan (Côte-d'Ivoire),,,,article,"Perekhvalskaya, Elena",2004,La morphologie verbale du mwan (Côte-d'Ivoire),,,,69-85,,Mandenkan: bull. semestriel d'études linguistiques mandé,,,\url{http://llacan.vjf.cnrs.fr/sec_mdkn.htm},,,,39,,,,,,,
274,"{""gbs"": {}}",base,sareghanesan,Areghan 1983,"L'Esan d'Ubiaja: Éléments de description d'une langue du groupe Édo (Bendel State, Nigeria)",,,,mastersthesis,"Areghan, Gloria",1983,"L'Esan d'Ubiaja: Éléments de description d'une langue du groupe Édo (Bendel State, Nigeria)",,,,81,,,Université de Grenoble III,,,,,,,,,,,,,
275,"{""gbs"": {}}",base,gmorrisonbena,Morrison 2011,A reference grammar of Bena,,,,phdthesis,"Morrison, Michelle Elizabeth",2011,A reference grammar of Bena,,,,547,,,University of Texas at Austin,,,,,,,,,,,,,
276,"{""gbs"": {}}",base,scaronhausa,Caron 2011,Hausa Grammatical Sketch,,,,misc,"Caron, Bernard",2011,Hausa Grammatical Sketch,,,,57,,,,,,,,,,,,,Ms.,,,
277,"{""gbs"": {}}",base,gaginskymende,Aginsky 1935,A Grammar of the Mende Language,,,,article,"Aginsky, Ethel G.",1935,A Grammar of the Mende Language,,,,7-111,,Language,,,,Language Dissertation No. 20. PhD Columbia University 1936.,3,,11,,,,,,,
278,"{""gbs"": {}}",base,spoulosboschzulu,Poulos and Bosch 1997,Zulu,,,,book,"Poulos, George and Bosch, Sonja E.",1997,Zulu,Book,,,,,,,,,,,Languages of the world: materials,50,München: Lincom Europa,,,,,,
279,"{""gbs"": {}}",base,wboydkpatiri,Boyd 1988,"Le Kpatiri ou Gbāyī, une nouvelle langue du groupe Ngbandi",,,,incollection,"Boyd, Raymond",1988,"Le Kpatiri ou Gbāyī, une nouvelle langue du groupe Ngbandi",,Lexique comparatif des langues oubanguiennes,"Moñino, Yves",35-49,,,,Paris,,,,,,Paris: Geuthner,,,,,,
280,"{""gbs"": {}}",base,typvanputtenavatime,van Putten 2009,Talking about motion in Avatime,,,,mastersthesis,"van Putten, Saskia",2009,Talking about motion in Avatime,,,,,,,Leiden University,,,,,,,,,,,,,
281,"{""gbs"": {}}",base,greichardtfulde,Reichardt 1876,Grammar of the Fulde language,,,,book,"Reichardt, Charles Augustus Ludwig",1876,Grammar of the Fulde language,,,,373,"With an appendix on some original traditions and portions of scripture translated into Fulde, together with eight chapters of the Book of Genesis, translated by the late Dr Baikie, R.N., late Consul at Lokoja, River Niger",,,,,,,,,London: Church Missionary House,,,,,,
282,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 456, ""imageLinks"": {""smallThumbnail"": ""http://bks6.books.google.de/books?id=J9TQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks6.books.google.de/books?id=J9TQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=J9TQAAAAMAAJ&q=inauthor:Noss,+Philip+Andrew+intitle:The+Gbaya+Predicate&dq=inauthor:Noss,+Philip+Andrew+intitle:The+Gbaya+Predicate&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1969"", ""printType"": ""BOOK"", ""contentVersion"": ""1.1.0.0.preview.0"", ""industryIdentifiers"": [{""identifier"": ""WISC:89010860773"", ""type"": ""OTHER""}], ""authors"": [""Philip A. Noss""], ""title"": ""The Gbaya predicate"", ""infoLink"": ""http://books.google.de/books?id=J9TQAAAAMAAJ&dq=inauthor:Noss,+Philip+Andrew+intitle:The+Gbaya+Predicate&hl=&source=gbs_api"", ""categories"": [""Gbaya language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/The_Gbaya_predicate.html?hl=&id=J9TQAAAAMAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""jWNCyoK4hMQ"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=J9TQAAAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""J9TQAAAAMAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/J9TQAAAAMAAJ""}}",base,gnossgbaya1969,Noss 1969,The Gbaya Predicate,,,J9TQAAAAMAAJ,phdthesis,"Noss, Philip Andrew",1969,The Gbaya Predicate,,,,235,,,The University of Wisconsin at Madison,,,,,,,,,,,,,
283,"{""gbs"": {}}",base,phonboydnougayrolgeme,Boyd and Nougayrol 1988,"Le gèmé ou jèmé, une nouvelle langue du groupe zande",,,,incollection,"Boyd, Raymond and Nougayrol, Pierre",1988,"Le gèmé ou jèmé, une nouvelle langue du groupe zande",,Lexique comparatif des langues oubanguiennes,"Moñino, Y.",67-84,,,,,,,,,,Paris: Geuthner,,,,,,
284,"{""gbs"": {}}",base,smoujibsoninke,Moujib 2004,La morphologie nominale et verbale en soninké,,,,book,"Moujib, Ilham Dupont",2004,La morphologie nominale et verbale en soninké,,,,,,,,,,,,,,Paris: L'Harmattan,,,,,,
285,"{""gbs"": {}}",base,gdiagnebayot,Diagne 2009,"Le Bayot: Langue Atlantique Nord, groupe bak, sous groupe jóola",,,,phdthesis,"Diagne, Mbacké",2009,"Le Bayot: Langue Atlantique Nord, groupe bak, sous groupe jóola",,,,314,,,Paris: INALCO,,,,,,,,,,,,,
286,"{""gbs"": {}}",base,gdioufwolof,Diouf 2009,Grammaire du wolof contemporain,,,,book,"Diouf, Jean-Léopold",2009,Grammaire du wolof contemporain,,,,223,Revue et complétée,,,,,,,,,Paris: L'Harmattan,,,,,,
287,"{""gbs"": {}}",base,gsteemansandawe,Steeman 2012,A grammar of Sandawe: A Khoisan language of Tanzania,,,,phdthesis,"Steeman, Sander",2012,A grammar of Sandawe: A Khoisan language of Tanzania,,,,280,,,Leiden University,,,,,LOT Dissertation Series,295,,,,,,,
288,"{""gbs"": {}}",base,sinnesmende,Innes 1967,A practical introduction to Mende,,,,book,"Innes, Gordon",1967,A practical introduction to Mende,,,,118,,,,London,,,,,,London: School of Oriental and African Studies (SOAS),,,,,,
289,"{""gbs"": {}}",base,typperekhvalskayamwan,Perekhvalskaya 2011,Nominalization in Mwan,,,,article,"Perekhvalskaya, Elena",2011,Nominalization in Mwan,,,,57-75,,Mandenkan,,,,,,,47,,,,,,,
290,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""subtitle"": ""A Wolof Dictionary"", ""language"": ""en"", ""pageCount"": 248, ""imageLinks"": {""smallThumbnail"": ""http://bks5.books.google.de/books?id=HocOAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks5.books.google.de/books?id=HocOAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=HocOAAAAYAAJ&q=inauthor:Munro,+Pamela+and+Gaye,+Dieynaba+intitle:Ay+baati+Wolof+/+A+Wolof+dictionary+inpublisher:Los+Angeles&dq=inauthor:Munro,+Pamela+and+Gaye,+Dieynaba+intitle:Ay+baati+Wolof+/+A+Wolof+dictionary+inpublisher:Los+Angeles&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1991"", ""printType"": ""BOOK"", ""contentVersion"": ""0.1.1.0.preview.0"", ""industryIdentifiers"": [{""identifier"": ""UVA:X002552735"", ""type"": ""OTHER""}], ""authors"": [""Pamela Munro"", ""Dieynaba Gaye""], ""title"": ""Ay Baati Wolof"", ""infoLink"": ""http://books.google.de/books?id=HocOAAAAYAAJ&dq=inauthor:Munro,+Pamela+and+Gaye,+Dieynaba+intitle:Ay+baati+Wolof+/+A+Wolof+dictionary+inpublisher:Los+Angeles&hl=&source=gbs_api"", ""categories"": [""Wolof language""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Ay_Baati_Wolof.html?hl=&id=HocOAAAAYAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""4DAgd5g50Nw"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=HocOAAAAYAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""HocOAAAAYAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/HocOAAAAYAAJ""}}",base,dmunrogayewolof,Munro and Gaye 1997,Ay baati Wolof / A Wolof dictionary,,,HocOAAAAYAAJ,book,"Munro, Pamela and Gaye, Dieynaba",1997,Ay baati Wolof / A Wolof dictionary,,,,382,2,,,,,,,"UCLA (Univ. of California, Los Angeles) working papers in linguistics",19,Los Angeles,,,,,,
291,"{""gbs"": {}}",base,ldmccawleytiv,McCawley 1970,A note on tone in Tiv conjugation,,,,article,"McCawley, James D.",1970,A note on tone in Tiv conjugation,,,,123-129,,Studies in African linguistics,,,,,,,1,,,,,,,
292,"{""gbs"": {}}",base,typarnottfulativ,Arnott 1967,Some reflections on the content of individual classes in Fula and Tiv,,,,incollection,"Arnott, David Whitehorn",1967,Some reflections on the content of individual classes in Fula and Tiv,,La classification nominale dans les langues négro-africaines,"Manessy, Gabriel",45-74,,,,,,,,"Colloques internationaux du CNRS (Centre National de la Recherche Scientifique), sciences humaine",,Paris: CNRS,,,,,,
293,"{""gbs"": {}}",base,gtreiskambaata,Treis 2008,"A grammar of Kambaata, 1: phonology, nominal morphology and non-verbal predication",,,,book,"Treis, Yvonne",2008,"A grammar of Kambaata, 1: phonology, nominal morphology and non-verbal predication",,,,468,,,,,,"Publication of 2007 Towards a Grammar of Kambaata. Phonology, Nominal Morphology, and Non-verbal Predication, PhD, University of Cologne",,Cushitic language studies (Kuschitische Sprachstudien),26,Köln: Rüdiger Köppe Verlag,,,,,,
294,"{""gbs"": {}}",base,gaustenbukusu,Austen 1975,Aspects of Bukusu Syntax and Phonology.,,,,phdthesis,"Austen, Cheryl Lynn",1975,Aspects of Bukusu Syntax and Phonology.,,,,281,,,Indiana University,,,,,,,,,,,,,
295,"{""gbs"": {}}",base,typrolleesan2010,Rolle 2010,On the syntactic distribution and morphological form of resumptive pronouns in Esan,,,,mastersthesis,"Rolle, Nicholas",2010,On the syntactic distribution and morphological form of resumptive pronouns in Esan,,,,,,,University of Toronto,,,,,,,,,,,,,
296,"{""gbs"": {}}",base,sleonardbaka,Léonard 2005,Pragmatic features of Baka narrative discourse,,,,book,"Léonard, Yves",2005,Pragmatic features of Baka narrative discourse,,,,148,,,,Yaoundé,\url{http://www.sil.org/africa/cameroun/bydomain/linguistics/archives/baka_leonard2005_2677_p.pdf},,,,,Yaoundé: SIL,,,,,,
